trade_date,h.1,h.2,h.3,h.4,h.5
2004-12-30,0.5176544358562999,0.5342598625637205,0.5506924248185279,0.5669539221600838,0.5830461353943326
2004-12-31,0.5111327401064734,0.527684143850611,0.5440633102874597,0.5602720317538192,0.5763120819350649
2005-01-03,0.6189981279259386,0.6346670350251546,0.650169559219467,0.6655074672735177,0.680682507191264
2005-01-04,0.6250041242527672,0.640457190849451,0.6557461576732808,0.6708727673385969,0.6858387439545051
2005-01-05,0.8382994731312873,0.8521505781029717,0.86584703354461,0.8793905661398993,0.8927828832938713
2005-01-06,0.7901507435302435,0.804192682481324,0.8180795877644367,0.8318131710689919,0.8453951251860492
2005-01-07,0.7248960833136054,0.7393228392734411,0.7535914040329048,0.7677035121784791,0.7816608792766868
2005-01-10,0.690651739364934,0.70526578834972,0.7197211629894716,0.7340195861159516,0.7481627618550046
2005-01-11,0.6477419899432677,0.6626469764266395,0.6773907397455765,0.6919750238069773,0.7064015536543762
2005-01-12,0.6054983713403583,0.6207476457631861,0.6358318737115414,0.6507528415221365,0.6655123161977424
2005-01-13,0.5803614936948677,0.595965625744177,0.6113984106997594,0.6266617301034038,0.6417574448359152
2005-01-14,0.6031464124958205,0.6187682745227931,0.6342139478411357,0.6494854195674284,0.6645846544068703
2005-01-18,0.626997366409111,0.6421015332397606,0.6570404482752762,0.6718159195038835,0.6864297351329562
2005-01-19,0.6023910943703967,0.6178880615975456,0.6332125014158775,0.6483663345693907,0.6633514604184815
2005-01-20,0.5712563967038475,0.5872088938179691,0.6029812056311894,0.6185753673573325,0.6339933912222474
2005-01-21,0.5487765561886631,0.5647860764758049,0.5806164738818407,0.5962697525271912,0.6117478941091303
2005-01-24,0.5809571445335961,0.5971011575682725,0.6130575161662191,0.6288284015811023,0.6444159697121786
2005-01-25,0.5745444528520481,0.5898272233319052,0.6049457258186428,0.6199017259589805,0.634696970421453
2005-01-26,0.7361907841691431,0.750696369740037,0.7650336265888034,0.7792045080704829,0.793210944872589
2005-01-27,0.699613394270951,0.71469344407166,0.7295955493523817,0.7443218098576534,0.7588743005550366
2005-01-28,0.6447888031419595,0.6605211618406198,0.6760664807756557,0.6914269836360796,0.7066048676737829
2005-01-31,0.7246954541280245,0.740775288020307,0.7566605570782284,0.7723536155223001,0.7878567890871345
2005-02-01,0.7081247374338716,0.7246877463092782,0.7410494042324464,0.7572121589594732,0.7731784284899055
2005-02-02,0.661605194516143,0.6787132554103078,0.695614850563074,0.712312471671346,0.7288085803614055
2005-02-03,0.6116327389930802,0.6286145520146115,0.6453985824995884,0.6619871339671768,0.6783824831080842
2005-02-04,0.652485434471181,0.6686884040351628,0.6847045147167863,0.7005359214446142,0.7161847542957436
